date,home_team,away_team,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,avg_attendance,team,abbr,wins,losses,otl,game_num,gf,ga
2022-03-15,New York Rangers,Anaheim Ducks,1550.50652947116,1450.91886659905,0.70288954888554,0.29711045111446,4,3,1551.84364746361,1449.5817486066,39,2,20,16839,Anaheim Ducks,ANA,27,25,11,63,183,201
2022-03-18,Anaheim Ducks,Florida Panthers,1449.5817486066,1578.11765703912,0.388864195390307,0.611135804609693,0,3,1446.12271775872,1581.576687887,55,4,29,13083,Anaheim Ducks,ANA,27,26,11,64,183,204
2022-03-21,Anaheim Ducks,Nashville Predators,1446.12271775872,1538.19735522073,0.439744000046042,0.560255999953958,3,6,1442.14292729607,1542.17714568338,28,7,17,13083,Anaheim Ducks,ANA,27,27,11,65,186,210
2022-03-23,Anaheim Ducks,Chicago Blackhawks,1442.14292729607,1441.37700221939,0.572542513591072,0.427457486408928,2,4,1437.67557668662,1445.84435282884,1,0,0,13083,Anaheim Ducks,ANA,27,28,11,66,188,214
2022-03-26,San Jose Sharks,Anaheim Ducks,1448.54999352136,1437.67557668662,0.586719742218768,0.413280257781232,4,1,1452.25696907627,1433.96860113171,1,0,0,12573,Anaheim Ducks,ANA,27,29,11,67,189,218
2022-03-29,Anaheim Ducks,Dallas Stars,1433.96860113171,1516.56949618717,0.453220751240299,0.546779248759701,2,3,1431.81434759422,1518.72374972466,13,28,20,13083,Anaheim Ducks,ANA,27,30,11,68,191,221
2022-03-31,Anaheim Ducks,Dallas Stars,1431.81434759422,1518.72374972466,0.447082021656648,0.552917978343352,2,3,1429.69366003052,1520.84443728836,13,25,19,13083,Anaheim Ducks,ANA,27,30,12,69,193,224
2022-04-01,Arizona Coyotes,Anaheim Ducks,1434.11490864508,1429.69366003052,0.577684178611068,0.422315821388932,0,5,1427.41782787442,1436.39074080118,0,0,0,11601,Anaheim Ducks,ANA,28,30,12,70,198,224
2022-04-03,Anaheim Ducks,Edmonton Oilers,1436.39074080118,1526.97088234762,0.441864603077507,0.558135396922493,1,6,1431.50099450795,1531.86062864085,18,20,19,13083,Anaheim Ducks,ANA,28,31,12,71,199,230
2022-04-06,Anaheim Ducks,Calgary Flames,1431.50099450795,1557.37015472414,0.392518514039089,0.607481485960911,2,4,1428.62074867015,1560.25040056194,30,0,15,13083,Anaheim Ducks,ANA,28,32,12,72,201,234
