,date,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating,team,abbr,game_num,last_game_date,team_rating,opposing_team_rating,rating_diff,gf,ga,rest_days,game_outcome
1995,2021-12-14,reg,San Jose Sharks,Seattle Kraken,SJS,SEA,1476.43698492829,1463.4985964891,0.589597686861996,0.410402313138004,0.233162751364987,1.2748859062218,0.958276845143183,1,3,1471.80837714671,1468.12720427068,10,23,16,Seattle Kraken,SEA,28,2021-12-11,1463.4985964891,1476.43698492829,-12.938388439190021,3,1,3.0,W
1996,2021-12-15,reg,Anaheim Ducks,Seattle Kraken,ANA,SEA,1478.57826531377,1468.12720427068,0.586128686882974,0.413871313117026,0.233587647554111,1.26893260018709,0.964655047367026,4,1,1482.29128710444,1464.41418248001,12,40,26,Seattle Kraken,SEA,29,2021-12-14,1468.12720427068,1478.57826531377,-10.451061043090021,1,4,1.0,L
1997,2021-12-18,reg,Seattle Kraken,Edmonton Oilers,SEA,EDM,1464.41418248001,1521.07259479308,0.49041894735102,0.50958105264898,0.242908046989413,1.10461923298381,1.1382888140056,3,5,1460.69445590159,1524.7923213715,30,24,27,Seattle Kraken,SEA,30,2021-12-15,1464.41418248001,1521.07259479308,-56.65841231307013,3,5,3.0,L
1998,2021-12-29,OT,Seattle Kraken,Philadelphia Flyers,SEA,PHI,1460.69445590159,1474.91990501029,0.551302537097961,0.448697462902039,0.237832112489431,1.20931973966656,1.02851237282287,2,3,1457.98504426684,1477.62931664504,9,10,9,Seattle Kraken,SEA,31,2021-12-18,1460.69445590159,1474.91990501029,-14.225449108700104,2,3,11.0,OTL
1999,2021-12-30,reg,Seattle Kraken,Calgary Flames,SEA,CGY,1457.98504426684,1523.41604703606,0.477807592260354,0.522192407739646,0.241370975556235,1.08165727540489,1.15971370015135,4,6,1454.37636488698,1527.02472641592,28,14,21,Seattle Kraken,SEA,32,2021-12-29,1457.98504426684,1523.41604703606,-65.43100276921996,4,6,1.0,L
2000,2022-01-01,reg,Seattle Kraken,Vancouver Canucks,SEA,VAN,1454.37636488698,1480.81418750827,0.533856810160788,0.466143189839212,0.239952222293397,1.17956571463043,1.06038650766297,2,5,1449.38833596195,1485.8022164333,8,9,8,Seattle Kraken,SEA,33,2021-12-30,1454.37636488698,1480.81418750827,-26.437822621290024,2,5,2.0,L
2001,2022-01-10,reg,Colorado Avalanche,Seattle Kraken,COL,SEA,1585.55063681532,1449.38833596195,0.74490797921942,0.25509202078058,0.212789534350309,1.54409687075722,0.668692663593089,4,3,1586.67987779949,1448.25909497778,59,1,30,Seattle Kraken,SEA,34,2022-01-01,1449.38833596195,1585.55063681532,-136.1623008533702,3,4,9.0,L
2002,2022-01-12,reg,Dallas Stars,Seattle Kraken,DAL,SEA,1506.76184396471,1448.25909497778,0.651262212551272,0.348737787448728,0.225474637707485,1.38115595138246,0.844318686325028,5,2,1509.82087484137,1445.20006410112,15,17,16,Seattle Kraken,SEA,35,2022-01-10,1448.25909497778,1506.76184396471,-58.50274898692987,2,5,2.0,L
2003,2022-01-13,reg,St. Louis Blues,Seattle Kraken,STL,SEA,1534.91191169117,1445.20006410112,0.690882017679197,0.309117982320803,0.220313364594866,1.44986685810027,0.770446506494599,2,1,1536.30934271621,1443.80263307608,26,5,15,Seattle Kraken,SEA,36,2022-01-12,1445.20006410112,1534.91191169117,-89.71184759004996,1,2,1.0,L
2004,2022-01-15,reg,Seattle Kraken,Los Angeles Kings,SEA,LAK,1443.80263307608,1493.42114288706,0.50054900829334,0.49945099170666,0.244011917319282,1.12297001068004,1.12104190663924,1,3,1439.9930318823,1497.23074408084,9,21,15,Seattle Kraken,SEA,37,2022-01-13,1443.80263307608,1493.42114288706,-49.61850981097996,1,3,2.0,L
