,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
653,,Columbus Blue Jackets,Calgary Flames,CBJ,CGY,0,6,-6,6,2687.1
654,,Washington Capitals,San Jose Sharks,WSH,SJS,1,4,-3,3,3890.23
655,SO,Toronto Maple Leafs,Anaheim Ducks,TOR,ANA,4,3,1,-1,3558.82
656,,Detroit Red Wings,Chicago Blackhawks,DET,CHI,5,8,-3,3,396.67
657,OT,Colorado Avalanche,Boston Bruins,COL,BOS,4,3,1,-1,2842.04
658,,Tampa Bay Lightning,New Jersey Devils,TBL,NJD,3,2,1,-1,1610.85
659,OT,Pittsburgh Penguins,Seattle Kraken,PIT,SEA,1,2,-1,1,3434.31
660,,Columbus Blue Jackets,New York Rangers,CBJ,NYR,5,3,2,-2,768.2
661,,Montreal Canadiens,Anaheim Ducks,MTL,ANA,4,5,-1,1,4070.73
662,,Florida Panthers,Vegas Golden Knights,FLA,VEG,4,1,3,-3,3514.66
663,SO,Ottawa Senators,Carolina Hurricanes,OTT,CAR,2,3,-1,1,1081.54
664,,New York Islanders,Los Angeles Kings,NYI,LAK,2,3,-1,1,3961.6
665,,St. Louis Blues,Calgary Flames,STL,CGY,5,1,4,-4,2315.42
666,,Winnipeg Jets,Vancouver Canucks,WPG,VAN,1,5,-4,4,1863.68
667,SO,Edmonton Oilers,Nashville Predators,EDM,NSH,3,2,1,-1,2768.26
668,SO,Pittsburgh Penguins,Detroit Red Wings,PIT,DET,2,3,-1,1,331.81
669,,New York Rangers,Minnesota Wild,NYR,MIN,2,3,-1,1,1621.63
670,,Chicago Blackhawks,Colorado Avalanche,CHI,COL,4,6,-2,2,1462.81
671,,Dallas Stars,Washington Capitals,DAL,WSH,0,5,-5,5,1903.73
672,,Arizona Coyotes,Boston Bruins,ARI,BOS,1,2,-1,1,3704.53
673,,Ottawa Senators,Anaheim Ducks,OTT,ANA,1,2,-1,1,3845.58
674,OT,Philadelphia Flyers,Los Angeles Kings,PHI,LAK,4,3,1,-1,3845.68
675,,St. Louis Blues,Winnipeg Jets,STL,WPG,1,4,-3,3,1367.81
676,OT,Florida Panthers,San Jose Sharks,FLA,SJS,5,4,1,-1,4086.45
677,,Detroit Red Wings,Toronto Maple Leafs,DET,TOR,4,7,-3,3,332.14
678,SO,Tampa Bay Lightning,Vegas Golden Knights,TBL,VEG,2,3,-1,1,3233.2
679,,Carolina Hurricanes,New Jersey Devils,CAR,NJD,2,1,1,-1,676.81
680,,Montreal Canadiens,Edmonton Oilers,MTL,EDM,2,7,-5,5,2779.88
681,,Arizona Coyotes,Buffalo Sabres,ARI,BUF,1,3,-2,2,3072.68
682,OT,Calgary Flames,Vancouver Canucks,CGY,VAN,1,0,1,-1,673.71
683,,Pittsburgh Penguins,Los Angeles Kings,PIT,LAK,3,4,-1,1,3434.33
684,,New York Rangers,Seattle Kraken,NYR,SEA,3,2,1,-1,3865.9
685,,Carolina Hurricanes,San Jose Sharks,CAR,SJS,2,1,1,-1,3826.12
686,,Dallas Stars,Boston Bruins,DAL,BOS,6,1,5,-5,2493.25
687,,Montreal Canadiens,Columbus Blue Jackets,MTL,CBJ,3,6,-3,3,1287.34
688,,New York Islanders,Minnesota Wild,NYI,MIN,3,4,-1,1,1643.96
689,,Colorado Avalanche,Buffalo Sabres,COL,BUF,4,1,3,-3,2200.91
690,,Columbus Blue Jackets,Florida Panthers,CBJ,FLA,4,8,-4,4,1555.67
