,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
1028,OT,Winnipeg Jets,Columbus Blue Jackets,WPG,CBJ,4,3,1,-1,1562.27
1029,,Calgary Flames,Arizona Coyotes,CGY,ARI,4,2,2,-2,1951.97
1030,,Colorado Avalanche,Philadelphia Flyers,COL,PHI,6,3,3,-3,2535.98
1031,,Boston Bruins,New York Islanders,BOS,NYI,6,3,3,-3,288.12
1032,OT,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,1,2,-1,1,1601.96
1033,OT,Vegas Golden Knights,Chicago Blackhawks,VEG,CHI,5,4,1,-1,2357.47
1034,,Dallas Stars,Vancouver Canucks,DAL,VAN,1,4,-3,3,2842.37
1035,,Washington Capitals,New Jersey Devils,WSH,NJD,4,3,1,-1,317.63
1036,SO,Ottawa Senators,Florida Panthers,OTT,FLA,3,4,-1,1,2163.96
1037,,Montreal Canadiens,Toronto Maple Leafs,MTL,TOR,4,2,2,-2,781.41
1038,OT,Minnesota Wild,Columbus Blue Jackets,MIN,CBJ,3,2,1,-1,994.8
1039,,St. Louis Blues,Carolina Hurricanes,STL,CAR,2,7,-5,5,1063.14
1040,,Calgary Flames,Edmonton Oilers,CGY,EDM,9,5,4,-4,172.09
1041,,Los Angeles Kings,Seattle Kraken,LAK,SEA,4,2,2,-2,1547.98
1042,,San Jose Sharks,Anaheim Ducks,SJS,ANA,4,1,3,-3,477.91
1043,,New York Islanders,Tampa Bay Lightning,NYI,TBL,1,4,-3,3,1628.24
1044,OT,New York Rangers,Buffalo Sabres,NYR,BUF,5,4,1,-1,468.46
1045,,Pittsburgh Penguins,Detroit Red Wings,PIT,DET,11,2,9,-9,331.81
1046,OT,Minnesota Wild,Colorado Avalanche,MIN,COL,3,2,1,-1,1134.64
1047,,Nashville Predators,Philadelphia Flyers,NSH,PHI,5,4,1,-1,1100.05
1048,,Toronto Maple Leafs,Florida Panthers,TOR,FLA,5,2,3,-3,1946.12
1049,OT,Winnipeg Jets,Arizona Coyotes,WPG,ARI,2,1,1,-1,2200.88
1050,SO,New Jersey Devils,Montreal Canadiens,NJD,MTL,3,2,1,-1,968.08
1051,,Washington Capitals,Carolina Hurricanes,WSH,CAR,1,6,-5,5,375.51
1052,,St. Louis Blues,Vancouver Canucks,STL,VAN,4,1,3,-3,2858.85
1053,,Chicago Blackhawks,Buffalo Sabres,CHI,BUF,5,6,-1,1,742.89
1054,,Edmonton Oilers,Arizona Coyotes,EDM,ARI,6,1,5,-5,2116.68
1055,,Los Angeles Kings,Seattle Kraken,LAK,SEA,1,6,-5,5,1547.98
1056,OT,Tampa Bay Lightning,Carolina Hurricanes,TBL,CAR,4,3,1,-1,942.12
1057,,Pittsburgh Penguins,New York Rangers,PIT,NYR,2,3,-1,1,507.31
1058,,Florida Panthers,Montreal Canadiens,FLA,MTL,7,4,3,-3,2652.24
1059,,Boston Bruins,Toronto Maple Leafs,BOS,TOR,4,6,-2,2,690.73
1060,,Columbus Blue Jackets,New York Islanders,CBJ,NYI,3,4,-1,1,790.38
1061,,Nashville Predators,Ottawa Senators,NSH,OTT,4,1,3,-3,1366.32
1062,,Minnesota Wild,Philadelphia Flyers,MIN,PHI,4,1,3,-3,1570.78
1063,,Calgary Flames,Colorado Avalanche,CGY,COL,1,2,-1,1,1437.85
1064,,Anaheim Ducks,Dallas Stars,ANA,DAL,2,3,-1,1,2050.02
1065,SO,Buffalo Sabres,Winnipeg Jets,BUF,WPG,2,3,-1,1,1597.79
1066,OT,Detroit Red Wings,New York Rangers,DET,NYR,4,5,-1,1,774.15
1067,SO,Edmonton Oilers,Los Angeles Kings,EDM,LAK,4,3,1,-1,2092.28
1068,,Seattle Kraken,Vegas Golden Knights,SEA,VEG,0,3,-3,3,1208.06
1069,,Vancouver Canucks,St. Louis Blues,VAN,STL,3,4,-1,1,2858.85
1070,,Arizona Coyotes,San Jose Sharks,ARI,SJS,5,2,3,-3,969.59
1071,,Toronto Maple Leafs,Winnipeg Jets,TOR,WPG,7,3,4,-4,1515.82
1072,,Carolina Hurricanes,Montreal Canadiens,CAR,MTL,4,0,4,-4,1571.76
1073,,Boston Bruins,New Jersey Devils,BOS,NJD,8,1,7,-7,316.02
1074,,New York Islanders,Columbus Blue Jackets,NYI,CBJ,5,2,3,-3,790.38
1075,,Florida Panthers,Chicago Blackhawks,FLA,CHI,4,0,4,-4,1877.92
1076,OT,Minnesota Wild,Pittsburgh Penguins,MIN,PIT,3,4,-1,1,1181.08
1077,,Colorado Avalanche,San Jose Sharks,COL,SJS,4,2,2,-2,1491.28
1078,SO,Calgary Flames,Los Angeles Kings,CGY,LAK,2,3,-1,1,1920.21
1079,OT,Anaheim Ducks,Dallas Stars,ANA,DAL,2,3,-1,1,2050.02
1080,,New York Rangers,New York Islanders,NYR,NYI,0,3,-3,3,22.86
1081,,Buffalo Sabres,Nashville Predators,BUF,NSH,4,3,1,-1,1009.51
1082,,Tampa Bay Lightning,Chicago Blackhawks,TBL,CHI,5,2,3,-3,1624.48
1083,,Detroit Red Wings,Ottawa Senators,DET,OTT,2,5,-3,3,659.23
1084,OT,Edmonton Oilers,St. Louis Blues,EDM,STL,6,5,1,-1,2364.74
1085,,Seattle Kraken,Vegas Golden Knights,SEA,VEG,2,5,-3,3,1208.06
1086,,Arizona Coyotes,Anaheim Ducks,ARI,ANA,0,5,-5,5,612.86
1087,OT,New Jersey Devils,Florida Panthers,NJD,FLA,6,7,-1,1,1717.13
1088,,Colorado Avalanche,Pittsburgh Penguins,COL,PIT,3,2,1,-1,2122.4
1089,,Philadelphia Flyers,Toronto Maple Leafs,PHI,TOR,3,6,-3,3,542.88
1090,SO,Tampa Bay Lightning,Montreal Canadiens,TBL,MTL,4,5,-1,1,2506.33
1091,,Boston Bruins,Columbus Blue Jackets,BOS,CBJ,5,2,3,-3,1033.7
1092,,Carolina Hurricanes,Minnesota Wild,CAR,MIN,1,3,-2,2,1582.31
1093,,Winnipeg Jets,Los Angeles Kings,WPG,LAK,2,3,-1,1,2464.45
1094,,Calgary Flames,St. Louis Blues,CGY,STL,4,6,-2,2,2315.42
1095,,San Jose Sharks,Dallas Stars,SJS,DAL,4,5,-1,1,2331.47
1096,,Ottawa Senators,Detroit Red Wings,OTT,DET,5,2,3,-3,659.23
1097,,Buffalo Sabres,Florida Panthers,BUF,FLA,3,5,-2,2,1863.46
1098,,New Jersey Devils,New York Islanders,NJD,NYI,3,4,-1,1,37.49
1099,SO,New York Rangers,Philadelphia Flyers,NYR,PHI,3,4,-1,1,137.47
1100,OT,Chicago Blackhawks,Arizona Coyotes,CHI,ARI,2,3,-1,1,2331.11
1101,,Washington Capitals,Minnesota Wild,WSH,MIN,1,5,-4,4,1487.0
1102,OT,Vancouver Canucks,Vegas Golden Knights,VAN,VEG,2,3,-1,1,1394.82
1103,,Anaheim Ducks,Edmonton Oilers,ANA,EDM,1,6,-5,5,2127.38
1104,,Seattle Kraken,Dallas Stars,SEA,DAL,4,1,3,-3,2703.64
1105,OT,Columbus Blue Jackets,Boston Bruins,CBJ,BOS,2,3,-1,1,1033.7
1106,,Tampa Bay Lightning,Toronto Maple Leafs,TBL,TOR,2,6,-4,4,1767.34
1107,,St. Louis Blues,Arizona Coyotes,STL,ARI,5,1,4,-4,2055.98
1108,,Los Angeles Kings,Calgary Flames,LAK,CGY,2,3,-1,1,1920.21
1109,,New Jersey Devils,New York Rangers,NJD,NYR,1,3,-2,2,15.07
1110,,Montreal Canadiens,Ottawa Senators,MTL,OTT,3,6,-3,3,492.57
1111,OT,Florida Panthers,Toronto Maple Leafs,FLA,TOR,7,6,1,-1,1946.12
1112,,Pittsburgh Penguins,Colorado Avalanche,PIT,COL,4,6,-2,2,2122.4
1113,,Buffalo Sabres,Carolina Hurricanes,BUF,CAR,4,2,2,-2,786.45
1114,,Philadelphia Flyers,Columbus Blue Jackets,PHI,CBJ,2,4,-2,2,667.78
1115,,Detroit Red Wings,Boston Bruins,DET,BOS,5,3,2,-2,984.67
1116,,Nashville Predators,Minnesota Wild,NSH,MIN,6,2,4,-4,1111.22
1117,,Dallas Stars,New York Islanders,DAL,NYI,3,2,1,-1,2228.59
1118,OT,San Jose Sharks,Edmonton Oilers,SJS,EDM,1,2,-1,1,1813.5
1119,,Winnipeg Jets,Detroit Red Wings,WPG,DET,1,3,-2,2,1368.95
1120,,Washington Capitals,Tampa Bay Lightning,WSH,TBL,4,3,1,-1,1317.63
1121,,St. Louis Blues,Seattle Kraken,STL,SEA,4,1,3,-3,2770.19
1122,,Vegas Golden Knights,Vancouver Canucks,VEG,VAN,1,5,-4,4,1394.82
1123,,Anaheim Ducks,Calgary Flames,ANA,CGY,2,4,-2,2,1955.31
1124,,Ottawa Senators,Nashville Predators,OTT,NSH,2,3,-1,1,1366.32
1125,,Columbus Blue Jackets,Philadelphia Flyers,CBJ,PHI,1,4,-3,3,667.78
1126,,New York Rangers,Pittsburgh Penguins,NYR,PIT,3,0,3,-3,507.31
1127,,New Jersey Devils,Montreal Canadiens,NJD,MTL,4,7,-3,3,968.08
1128,,Carolina Hurricanes,Buffalo Sabres,CAR,BUF,5,3,2,-2,786.45
1129,OT,Dallas Stars,Toronto Maple Leafs,DAL,TOR,3,4,-1,1,1936.12
1130,,Chicago Blackhawks,Seattle Kraken,CHI,SEA,0,2,-2,2,2775.82
1131,,Arizona Coyotes,Vancouver Canucks,ARI,VAN,1,5,-4,4,1966.14
1132,,Los Angeles Kings,Edmonton Oilers,LAK,EDM,2,3,-1,1,2092.28
1133,,San Jose Sharks,Calgary Flames,SJS,CGY,2,4,-2,2,1645.16
1134,,Carolina Hurricanes,New York Islanders,CAR,NYI,1,2,-1,1,698.39
1135,,Florida Panthers,Buffalo Sabres,FLA,BUF,4,3,1,-1,1863.46
1136,OT,Tampa Bay Lightning,Boston Bruins,TBL,BOS,1,2,-1,1,1905.03
1137,OT,Winnipeg Jets,Colorado Avalanche,WPG,COL,4,5,-1,1,1285.59
1138,OT,St. Louis Blues,Minnesota Wild,STL,MIN,4,3,1,-1,742.37
1139,,Dallas Stars,New Jersey Devils,DAL,NJD,1,3,-2,2,2193.33
1140,,Pittsburgh Penguins,Washington Capitals,PIT,WSH,3,6,-3,3,306.41
1141,,Nashville Predators,Florida Panthers,NSH,FLA,1,4,-3,3,1271.0
1142,,New York Rangers,Ottawa Senators,NYR,OTT,5,1,4,-4,529.36
1143,,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,3,2,1,-1,781.41
1144,,Seattle Kraken,Calgary Flames,SEA,CGY,1,4,-3,3,710.82
1145,OT,Detroit Red Wings,Columbus Blue Jackets,DET,CBJ,4,5,-1,1,263.77
1146,,Philadelphia Flyers,Anaheim Ducks,PHI,ANA,3,5,-2,2,3907.66
1147,,St. Louis Blues,New York Islanders,STL,NYI,6,1,5,-5,1426.89
1148,,Vegas Golden Knights,Arizona Coyotes,VEG,ARI,6,1,5,-5,572.19
1149,,Vancouver Canucks,San Jose Sharks,VAN,SJS,4,2,2,-2,1331.77
1150,SO,Edmonton Oilers,Colorado Avalanche,EDM,COL,1,2,-1,1,1563.65
1151,,Washington Capitals,Boston Bruins,WSH,BOS,4,2,2,-2,633.43
1152,OT,Pittsburgh Penguins,Nashville Predators,PIT,NSH,3,2,1,-1,761.82
1153,,Minnesota Wild,Los Angeles Kings,MIN,LAK,6,3,3,-3,2461.56
1154,,Tampa Bay Lightning,Buffalo Sabres,TBL,BUF,5,0,5,-5,1691.27
1155,,Carolina Hurricanes,Anaheim Ducks,CAR,ANA,5,2,3,-3,3647.26
1156,,Chicago Blackhawks,Dallas Stars,CHI,DAL,4,6,-2,2,1284.02
1157,,Ottawa Senators,Winnipeg Jets,OTT,WPG,3,4,-1,1,1664.39
1158,,Montreal Canadiens,Winnipeg Jets,MTL,WPG,2,4,-2,2,1690.57
1159,,Toronto Maple Leafs,Buffalo Sabres,TOR,BUF,2,5,-3,3,94.64
1160,,Boston Bruins,St. Louis Blues,BOS,STL,2,4,-2,2,1667.04
1161,,New York Rangers,Carolina Hurricanes,NYR,CAR,2,4,-2,2,687.48
1162,,Washington Capitals,Philadelphia Flyers,WSH,PHI,9,2,7,-7,194.12
1163,OT,Florida Panthers,Anaheim Ducks,FLA,ANA,3,2,1,-1,3786.13
1164,SO,New York Islanders,Pittsburgh Penguins,NYI,PIT,5,4,1,-1,529.63
1165,,Detroit Red Wings,Ottawa Senators,DET,OTT,1,4,-3,3,659.23
1166,OT,Nashville Predators,San Jose Sharks,NSH,SJS,1,0,1,-1,3111.15
1167,,Minnesota Wild,Edmonton Oilers,MIN,EDM,5,1,4,-4,1709.3
1168,,Chicago Blackhawks,Los Angeles Kings,CHI,LAK,2,5,-3,3,2790.47
1169,,Calgary Flames,Seattle Kraken,CGY,SEA,5,3,2,-2,710.82
1170,,Dallas Stars,Tampa Bay Lightning,DAL,TBL,1,0,1,-1,1477.63
1171,,Arizona Coyotes,New Jersey Devils,ARI,NJD,2,6,-4,4,3441.73
1172,OT,Vancouver Canucks,Vegas Golden Knights,VAN,VEG,5,4,1,-1,1394.82
1173,,Philadelphia Flyers,New York Rangers,PHI,NYR,0,4,-4,4,137.47
1174,,Columbus Blue Jackets,Montreal Canadiens,CBJ,MTL,5,1,4,-4,1287.34
1175,,Colorado Avalanche,Los Angeles Kings,COL,LAK,9,3,6,-6,1336.98
1176,,Toronto Maple Leafs,Washington Capitals,TOR,WSH,7,3,4,-4,563.18
1177,,Carolina Hurricanes,Detroit Red Wings,CAR,DET,0,3,-3,3,817.26
1178,,Pittsburgh Penguins,New York Islanders,PIT,NYI,6,3,3,-3,529.63
1179,OT,Tampa Bay Lightning,Anaheim Ducks,TBL,ANA,4,3,1,-1,3518.22
1180,,Buffalo Sabres,St. Louis Blues,BUF,STL,2,6,-4,4,1063.39
1181,,Boston Bruins,Ottawa Senators,BOS,OTT,2,3,-1,1,508.24
1182,,Nashville Predators,Edmonton Oilers,NSH,EDM,0,4,-4,4,2768.26
1183,OT,Dallas Stars,Minnesota Wild,DAL,MIN,2,3,-1,1,1388.69
1184,SO,Chicago Blackhawks,San Jose Sharks,CHI,SJS,5,4,1,-1,2942.92
1185,,Calgary Flames,Vegas Golden Knights,CGY,VEG,1,6,-5,5,1441.02
1186,,Colorado Avalanche,New Jersey Devils,COL,NJD,3,1,2,-2,2606.17
1187,,Vancouver Canucks,Arizona Coyotes,VAN,ARI,7,1,6,-6,1966.14
1188,,Florida Panthers,Winnipeg Jets,FLA,WPG,6,1,5,-5,3006.72
1189,,Montreal Canadiens,New York Islanders,MTL,NYI,0,3,-3,3,969.4
1190,,Nashville Predators,Chicago Blackhawks,NSH,CHI,4,3,1,-1,642.16
1191,,Boston Bruins,Pittsburgh Penguins,BOS,PIT,2,1,1,-1,774.34
1192,,New York Rangers,Detroit Red Wings,NYR,DET,4,0,4,-4,774.15
1193,OT,St. Louis Blues,Minnesota Wild,STL,MIN,6,5,1,-1,742.37
1194,,Edmonton Oilers,Vegas Golden Knights,EDM,VEG,4,0,4,-4,1611.37
1195,,Tampa Bay Lightning,Winnipeg Jets,TBL,WPG,7,4,3,-3,2740.5
1196,,Buffalo Sabres,Philadelphia Flyers,BUF,PHI,4,3,1,-1,452.51
1197,OT,Ottawa Senators,Toronto Maple Leafs,OTT,TOR,4,5,-1,1,329.86
1198,,Montreal Canadiens,Washington Capitals,MTL,WSH,4,8,-4,4,1202.62
1199,,Dallas Stars,San Jose Sharks,DAL,SJS,2,1,1,-1,2331.47
1200,,Colorado Avalanche,Carolina Hurricanes,COL,CAR,7,4,3,-3,2342.7
1201,SO,Seattle Kraken,New Jersey Devils,SEA,NJD,4,3,1,-1,3853.58
1202,,Calgary Flames,Arizona Coyotes,CGY,ARI,9,1,8,-8,1951.97
1203,,Los Angeles Kings,Columbus Blue Jackets,LAK,CBJ,2,1,1,-1,3178.03
1204,,Detroit Red Wings,Florida Panthers,DET,FLA,1,6,-5,5,1816.57
1205,,Philadelphia Flyers,Buffalo Sabres,PHI,BUF,3,5,-2,2,452.51
1206,OT,Minnesota Wild,San Jose Sharks,MIN,SJS,5,4,1,-1,2539.97
1207,,Nashville Predators,St. Louis Blues,NSH,STL,3,8,-5,5,406.14
1208,,Toronto Maple Leafs,New York Islanders,TOR,NYI,4,2,2,-2,568.25
1209,,Anaheim Ducks,Columbus Blue Jackets,ANA,CBJ,6,4,2,-2,3239.99
1210,,Chicago Blackhawks,Calgary Flames,CHI,CGY,2,5,-3,3,2235.78
1211,,Colorado Avalanche,Washington Capitals,COL,WSH,2,3,-1,1,2399.4
1212,,Arizona Coyotes,Carolina Hurricanes,ARI,CAR,3,5,-2,2,3062.76
1213,,Vegas Golden Knights,New Jersey Devils,VEG,NJD,2,3,-1,1,3502.7
1214,,Seattle Kraken,Ottawa Senators,SEA,OTT,4,2,2,-2,3512.18
1215,,Vancouver Canucks,Dallas Stars,VAN,DAL,6,2,4,-4,2842.37
1216,,New York Rangers,Winnipeg Jets,NYR,WPG,3,0,3,-3,2063.6
1217,,Montreal Canadiens,Minnesota Wild,MTL,MIN,0,2,-2,2,1552.68
1218,,Tampa Bay Lightning,Detroit Red Wings,TBL,DET,3,4,-1,1,1601.96
1219,,Toronto Maple Leafs,Philadelphia Flyers,TOR,PHI,5,2,3,-3,542.88
1220,OT,New York Islanders,Florida Panthers,NYI,FLA,2,3,-1,1,1728.87
1221,OT,St. Louis Blues,Boston Bruins,STL,BOS,2,3,-1,1,1667.04
1222,SO,Nashville Predators,Calgary Flames,NSH,CGY,3,2,1,-1,2721.12
1223,,Anaheim Ducks,Los Angeles Kings,ANA,LAK,1,2,-1,1,62.02
1224,SO,Vancouver Canucks,Ottawa Senators,VAN,OTT,3,4,-1,1,3527.61
1225,,San Jose Sharks,Columbus Blue Jackets,SJS,CBJ,3,2,1,-1,3363.57
1226,,Edmonton Oilers,Dallas Stars,EDM,DAL,5,2,3,-3,2572.06
1227,OT,Vegas Golden Knights,Washington Capitals,VEG,WSH,4,3,1,-1,3297.22
1228,,Seattle Kraken,Colorado Avalanche,SEA,COL,3,2,1,-1,1641.17
1229,OT,Arizona Coyotes,Chicago Blackhawks,ARI,CHI,3,4,-1,1,2331.11
1230,,Montreal Canadiens,Philadelphia Flyers,MTL,PHI,3,6,-3,3,1066.99
1231,,Carolina Hurricanes,Winnipeg Jets,CAR,WPG,4,2,2,-2,2158.71
1232,,New Jersey Devils,Buffalo Sabres,NJD,BUF,2,5,-3,3,456.84
1233,,Pittsburgh Penguins,Boston Bruins,PIT,BOS,4,0,4,-4,774.34
1234,,Florida Panthers,Detroit Red Wings,FLA,DET,5,2,3,-3,1816.57
1235,,New York Islanders,New York Rangers,NYI,NYR,3,6,-3,3,22.86
1236,,Minnesota Wild,Vancouver Canucks,MIN,VAN,6,3,3,-3,2305.29
1237,,Tampa Bay Lightning,Toronto Maple Leafs,TBL,TOR,8,1,7,-7,1767.34
1238,,Calgary Flames,Dallas Stars,CGY,DAL,4,2,2,-2,2467.03
1239,,Los Angeles Kings,Chicago Blackhawks,LAK,CHI,4,1,3,-3,2790.47
1240,,San Jose Sharks,St. Louis Blues,SJS,STL,1,3,-2,2,2768.21
1241,SO,Columbus Blue Jackets,Ottawa Senators,CBJ,OTT,1,2,-1,1,827.8
1242,,Minnesota Wild,Seattle Kraken,MIN,SEA,6,3,3,-3,2253.94
1243,,Edmonton Oilers,Colorado Avalanche,EDM,COL,6,3,3,-3,1563.65
1244,,Arizona Coyotes,Washington Capitals,ARI,WSH,0,2,-2,2,3196.82
1245,OT,New Jersey Devils,Carolina Hurricanes,NJD,CAR,2,3,-1,1,676.81
1246,,Detroit Red Wings,Pittsburgh Penguins,DET,PIT,2,7,-5,5,331.81
1247,,Buffalo Sabres,New York Islanders,BUF,NYI,5,3,2,-2,489.84
1248,,Boston Bruins,New York Rangers,BOS,NYR,3,1,2,-2,302.9
1249,,Ottawa Senators,Montreal Canadiens,OTT,MTL,6,4,2,-2,492.57
1250,,Tampa Bay Lightning,Nashville Predators,TBL,NSH,6,2,4,-4,1001.46
1251,OT,Florida Panthers,Toronto Maple Leafs,FLA,TOR,3,2,1,-1,1946.12
1252,,San Jose Sharks,Chicago Blackhawks,SJS,CHI,4,1,3,-3,2942.92
1253,,Dallas Stars,Seattle Kraken,DAL,SEA,3,2,1,-1,2703.64
1254,OT,Arizona Coyotes,St. Louis Blues,ARI,STL,4,5,-1,1,2055.98
1255,,Calgary Flames,Vancouver Canucks,CGY,VAN,6,3,3,-3,673.71
1256,,Los Angeles Kings,Anaheim Ducks,LAK,ANA,4,2,2,-2,62.02
1257,,New Jersey Devils,Detroit Red Wings,NJD,DET,0,3,-3,3,760.33
1258,,New York Islanders,Carolina Hurricanes,NYI,CAR,2,5,-3,3,698.39
1259,,Columbus Blue Jackets,Edmonton Oilers,CBJ,EDM,5,2,3,-3,2699.79
1260,,Philadelphia Flyers,Pittsburgh Penguins,PHI,PIT,4,1,3,-3,413.61
1261,,Winnipeg Jets,Colorado Avalanche,WPG,COL,4,1,3,-3,1285.59
1262,,Florida Panthers,Tampa Bay Lightning,FLA,TBL,4,8,-4,4,289.3
1263,,Montreal Canadiens,Boston Bruins,MTL,BOS,3,5,-2,2,808.87
1264,SO,Washington Capitals,Toronto Maple Leafs,WSH,TOR,3,4,-1,1,563.18
1265,OT,Nashville Predators,Minnesota Wild,NSH,MIN,4,5,-1,1,1111.22
1266,,Anaheim Ducks,St. Louis Blues,ANA,STL,3,6,-3,3,2616.32
1267,SO,Vegas Golden Knights,San Jose Sharks,VEG,SJS,4,5,-1,1,597.36
1268,,Chicago Blackhawks,Philadelphia Flyers,CHI,PHI,3,1,2,-2,1084.99
1269,,Boston Bruins,Florida Panthers,BOS,FLA,4,2,2,-2,1990.14
1270,,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,3,0,3,-3,332.14
1271,,New York Rangers,Carolina Hurricanes,NYR,CAR,3,4,-1,1,687.48
1272,,Washington Capitals,New York Islanders,WSH,NYI,1,4,-3,3,346.17
1273,OT,Ottawa Senators,New Jersey Devils,OTT,NJD,5,4,1,-1,527.09
1274,,Pittsburgh Penguins,Edmonton Oilers,PIT,EDM,1,5,-4,4,2861.26
1275,,Tampa Bay Lightning,Columbus Blue Jackets,TBL,CBJ,4,1,3,-3,1338.26
1276,,Minnesota Wild,Arizona Coyotes,MIN,ARI,3,5,-2,2,2072.7
1277,OT,Nashville Predators,Calgary Flames,NSH,CGY,4,5,-1,1,2721.12
1278,SO,Dallas Stars,Vegas Golden Knights,DAL,VEG,3,2,1,-1,1761.93
1279,,Colorado Avalanche,St. Louis Blues,COL,STL,5,3,2,-2,1280.58
1280,,Vancouver Canucks,Seattle Kraken,VAN,SEA,5,2,3,-3,192.35
1281,,San Jose Sharks,Anaheim Ducks,SJS,ANA,2,5,-3,3,477.91
1282,,New York Rangers,Montreal Canadiens,NYR,MTL,3,4,-1,1,965.62
1283,,Winnipeg Jets,Philadelphia Flyers,WPG,PHI,4,0,4,-4,2044.74
1284,OT,Dallas Stars,Arizona Coyotes,DAL,ARI,3,4,-1,1,1439.29
1285,SO,Chicago Blackhawks,Vegas Golden Knights,CHI,VEG,4,3,1,-1,2357.47
1286,,Seattle Kraken,Los Angeles Kings,SEA,LAK,3,5,-2,2,1547.98
1287,,Carolina Hurricanes,New Jersey Devils,CAR,NJD,6,3,3,-3,676.81
1288,,Ottawa Senators,Florida Panthers,OTT,FLA,0,4,-4,4,2163.96
1289,,Columbus Blue Jackets,Tampa Bay Lightning,CBJ,TBL,5,2,3,-3,1338.26
1290,,New York Islanders,Washington Capitals,NYI,WSH,5,1,4,-4,346.17
1291,,Boston Bruins,Buffalo Sabres,BOS,BUF,5,0,5,-5,641.64
1292,OT,Minnesota Wild,Calgary Flames,MIN,CGY,3,2,1,-1,1692.37
1293,SO,Colorado Avalanche,Nashville Predators,COL,NSH,4,5,-1,1,1641.33
1294,OT,Edmonton Oilers,San Jose Sharks,EDM,SJS,5,4,1,-1,1813.5
1295,OT,Vancouver Canucks,Los Angeles Kings,VAN,LAK,3,2,1,-1,1740.18
1296,,New Jersey Devils,Detroit Red Wings,NJD,DET,3,5,-2,2,760.33
1297,,Pittsburgh Penguins,Columbus Blue Jackets,PIT,CBJ,5,3,2,-2,261.48
1298,,Montreal Canadiens,Florida Panthers,MTL,FLA,10,2,8,-8,2652.24
1299,OT,Buffalo Sabres,Chicago Blackhawks,BUF,CHI,3,2,1,-1,742.89
1300,,New York Rangers,Washington Capitals,NYR,WSH,3,2,1,-1,330.53
1301,,Toronto Maple Leafs,Boston Bruins,TOR,BOS,5,2,3,-3,690.73
1302,,Philadelphia Flyers,Ottawa Senators,PHI,OTT,2,4,-2,2,603.16
1303,,New York Islanders,Tampa Bay Lightning,NYI,TBL,4,6,-2,2,1628.24
1304,,Winnipeg Jets,Calgary Flames,WPG,CGY,3,1,2,-2,1200.88
1305,,St. Louis Blues,Vegas Golden Knights,STL,VEG,4,7,-3,3,2171.57
1306,,Minnesota Wild,Colorado Avalanche,MIN,COL,4,1,3,-3,1134.64
1307,,Dallas Stars,Anaheim Ducks,DAL,ANA,4,2,2,-2,2050.02
1308,SO,Edmonton Oilers,Vancouver Canucks,EDM,VAN,3,2,1,-1,764.76
1309,,Seattle Kraken,San Jose Sharks,SEA,SJS,3,0,3,-3,1144.71
1310,,Arizona Coyotes,Nashville Predators,ARI,NSH,5,4,1,-1,2333.98
1311,,Winnipeg Jets,Seattle Kraken,WPG,SEA,4,3,1,-1,1856.22
